Timestamp,Data
2023-07-27 11:56:23.168160,========================================
2023-07-27 11:56:23.168160,Calculating gyro offsets
2023-07-27 11:56:26.395337,DO NOT MOVE MPU6050...
2023-07-27 11:56:26.395337,Done!
2023-07-27 11:56:26.396314,X : -2.72
2023-07-27 11:56:26.399315,Y : -0.57
2023-07-27 11:56:26.399315,Z : -0.66
2023-07-27 11:56:26.403315,Program will start after 3 seconds
2023-07-27 11:56:29.401190,========================================
2023-07-27 11:56:29.405103,roll	pitch
2023-07-27 11:56:29.409104,5.46	10.76
2023-07-27 11:56:29.421194,14.39	23.56
2023-07-27 11:56:29.434101,23.52	39.38
2023-07-27 11:56:29.450108,26.76	48.63
2023-07-27 11:56:29.462170,25.97	50.50
2023-07-27 11:56:29.478745,23.98	48.79
2023-07-27 11:56:29.491051,22.43	46.03
2023-07-27 11:56:29.503985,21.77	43.77
2023-07-27 11:56:29.520031,21.46	42.20
2023-07-27 11:56:29.531890,21.02	40.97
2023-07-27 11:56:29.548885,20.55	40.40
2023-07-27 11:56:29.560978,20.01	39.97
2023-07-27 11:56:29.576920,19.65	39.82
2023-07-27 11:56:29.589630,19.35	39.72
2023-07-27 11:56:29.601645,19.22	39.70
2023-07-27 11:56:29.618521,18.93	39.39
2023-07-27 11:56:29.630728,18.48	38.78
2023-07-27 11:56:29.646987,17.82	38.10
2023-07-27 11:56:29.658989,17.06	37.47
2023-07-27 11:56:29.675156,16.39	36.49
2023-07-27 11:56:29.687714,15.92	35.80
2023-07-27 11:56:29.700664,15.63	35.00
2023-07-27 11:56:29.716664,15.62	34.15
2023-07-27 11:56:29.728666,15.44	33.16
2023-07-27 11:56:29.745666,15.13	32.18
2023-07-27 11:56:29.757665,14.62	31.21
2023-07-27 11:56:29.773790,14.21	30.03
2023-07-27 11:56:29.786353,14.11	29.01
2023-07-27 11:56:29.798331,13.90	28.04
2023-07-27 11:56:29.814330,13.62	27.13
2023-07-27 11:56:29.827338,13.21	26.22
2023-07-27 11:56:29.843408,12.82	25.59
2023-07-27 11:56:29.856330,12.54	24.96
2023-07-27 11:56:29.872448,12.21	24.45
2023-07-27 11:56:29.884466,12.06	23.98
2023-07-27 11:56:29.896640,11.74	23.59
2023-07-27 11:56:29.913635,11.58	23.23
2023-07-27 11:56:29.925644,11.75	22.92
2023-07-27 11:56:29.941639,11.93	22.57
2023-07-27 11:56:29.953735,11.56	22.11
2023-07-27 11:56:29.970379,10.69	21.53
2023-07-27 11:56:29.983247,9.80	21.10
2023-07-27 11:56:29.994759,9.40	20.79
2023-07-27 11:56:30.011758,9.33	20.49
2023-07-27 11:56:30.023843,9.51	20.31
2023-07-27 11:56:30.039782,9.47	20.05
2023-07-27 11:56:30.052761,9.35	19.73
2023-07-27 11:56:30.064760,8.97	19.36
2023-07-27 11:56:30.080802,8.56	18.78
2023-07-27 11:56:30.094115,8.33	18.40
2023-07-27 11:56:30.110173,8.04	18.02
2023-07-27 11:56:30.122116,7.86	17.67
2023-07-27 11:56:30.135117,7.76	17.45
2023-07-27 11:56:30.151116,7.79	17.04
2023-07-27 11:56:30.163119,7.77	16.55
2023-07-27 11:56:30.179148,7.52	15.91
2023-07-27 11:56:30.191257,7.29	15.34
2023-07-27 11:56:30.207275,6.82	14.86
2023-07-27 11:56:30.220278,6.42	14.27
2023-07-27 11:56:30.232382,6.26	13.80
2023-07-27 11:56:30.249255,6.26	13.47
2023-07-27 11:56:30.261254,6.26	12.97
2023-07-27 11:56:30.277301,6.28	12.76
2023-07-27 11:56:30.289717,6.36	12.44
2023-07-27 11:56:30.302599,6.36	12.26
2023-07-27 11:56:30.318678,6.24	12.16
2023-07-27 11:56:30.330574,5.88	12.08
2023-07-27 11:56:30.346581,5.54	11.98
2023-07-27 11:56:30.359577,5.39	11.69
2023-07-27 11:56:30.371640,5.24	11.52
2023-07-27 11:56:30.388464,5.00	11.22
2023-07-27 11:56:30.400350,4.64	10.86
2023-07-27 11:56:30.417350,4.49	10.29
2023-07-27 11:56:30.429349,4.46	9.81
2023-07-27 11:56:30.441350,4.60	9.34
2023-07-27 11:56:30.458351,4.71	9.14
2023-07-27 11:56:30.470348,4.70	9.04
2023-07-27 11:56:30.485884,4.47	9.11
2023-07-27 11:56:30.498963,4.21	8.91
2023-07-27 11:56:30.510895,3.94	9.15
2023-07-27 11:56:30.527896,3.81	9.05
2023-07-27 11:56:30.539894,3.81	8.84
2023-07-27 11:56:30.555893,3.83	8.76
2023-07-27 11:56:30.568896,3.67	8.48
2023-07-27 11:56:30.580901,3.39	8.20
2023-07-27 11:56:30.597255,3.05	7.87
2023-07-27 11:56:30.609258,2.87	7.68
2023-07-27 11:56:30.625254,2.98	7.42
2023-07-27 11:56:30.638252,3.03	7.14
2023-07-27 11:56:30.650323,3.06	6.99
2023-07-27 11:56:30.666260,2.86	6.74
2023-07-27 11:56:30.679339,2.63	6.48
2023-07-27 11:56:30.694860,2.54	6.30
2023-07-27 11:56:30.707859,2.51	6.07
2023-07-27 11:56:30.719967,2.41	5.93
2023-07-27 11:56:30.735977,2.27	5.66
2023-07-27 11:56:30.748882,2.26	5.52
2023-07-27 11:56:30.764939,2.13	5.34
2023-07-27 11:56:30.776979,2.14	5.32
2023-07-27 11:56:30.789547,2.14	5.32
2023-07-27 11:56:30.806454,2.12	4.99
2023-07-27 11:56:30.818596,1.84	4.88
2023-07-27 11:56:30.834547,1.76	4.58
2023-07-27 11:56:30.846456,1.75	4.51
2023-07-27 11:56:30.859456,1.78	4.43
2023-07-27 11:56:30.875633,1.77	4.31
2023-07-27 11:56:30.888353,1.53	4.23
2023-07-27 11:56:30.904389,1.51	4.22
2023-07-27 11:56:30.916411,1.39	4.01
2023-07-27 11:56:30.928389,1.31	3.95
2023-07-27 11:56:30.945287,1.32	3.82
2023-07-27 11:56:30.957389,1.27	3.82
2023-07-27 11:56:30.974417,1.19	3.78
2023-07-27 11:56:30.986434,1.19	3.71
2023-07-27 11:56:30.998818,1.12	3.60
2023-07-27 11:56:31.014949,1.09	3.40
2023-07-27 11:56:31.026819,1.08	3.44
2023-07-27 11:56:31.043820,0.96	3.33
2023-07-27 11:56:31.055948,0.88	3.19
2023-07-27 11:56:31.068528,0.83	2.91
2023-07-27 11:56:31.084579,0.84	2.74
2023-07-27 11:56:31.096567,0.79	2.59
2023-07-27 11:56:31.113546,0.74	2.48
2023-07-27 11:56:31.125550,0.64	2.35
2023-07-27 11:56:31.137713,0.58	2.28
2023-07-27 11:56:31.154555,0.51	2.10
2023-07-27 11:56:31.166783,0.57	1.99
2023-07-27 11:56:31.182345,0.63	1.99
2023-07-27 11:56:31.195591,0.55	1.94
2023-07-27 11:56:31.207594,0.42	1.85
2023-07-27 11:56:31.224006,0.40	1.73
2023-07-27 11:56:31.236022,0.40	1.80
2023-07-27 11:56:31.252105,0.41	1.93
2023-07-27 11:56:31.265005,0.44	1.90
2023-07-27 11:56:31.277019,0.33	1.77
2023-07-27 11:56:31.293591,0.18	1.73
2023-07-27 11:56:31.305567,0.13	1.86
