Timestamp,Data
2023-07-27 11:54:58.499279,.81
2023-07-27 11:54:58.500277,9.84	10.85
2023-07-27 11:54:58.500277,9.89	10.76
2023-07-27 11:54:58.501275,9.84	10.70
2023-07-27 11:54:58.501275,9.84	10.70
2023-07-27 11:54:58.502280,9.88	10.83
2023-07-27 11:54:58.502280,9.93	10.87
2023-07-27 11:54:58.502280,.83
2023-07-27 11:54:58.503279,10.25	10.91
2023-07-27 11:54:58.503279,10.17	10.89
2023-07-27 11:54:58.504277,10.07	10.87
2023-07-27 11:54:58.504277,9.90	10.81
2023-07-27 11:54:58.505278,9.84	10.85
2023-07-27 11:54:58.505278,9.89	10.76
2023-07-27 11:54:58.505278,9.84	10.70
2023-07-27 11:54:58.506275,9.84	10.70
2023-07-27 11:54:58.506275,9.88	10.83
2023-07-27 11:54:58.507277,9.93	10.87
2023-07-27 11:55:00.180172,========================================
2023-07-27 11:55:00.184174,Calculating gyro offsets
2023-07-27 11:55:03.411315,DO NOT MOVE MPU6050...
2023-07-27 11:55:03.412233,Done!
2023-07-27 11:55:03.412233,X : -2.62
2023-07-27 11:55:03.415325,Y : -0.25
2023-07-27 11:55:03.416232,Z : -0.72
2023-07-27 11:55:03.420232,Program will start after 3 seconds
2023-07-27 11:55:06.421906,========================================
2023-07-27 11:55:06.422817,roll	pitch
2023-07-27 11:55:06.425866,0.37	0.33
2023-07-27 11:55:06.437893,2.07	2.21
2023-07-27 11:55:06.450854,5.95	6.22
2023-07-27 11:55:06.466442,9.51	9.75
2023-07-27 11:55:06.479371,11.18	11.57
2023-07-27 11:55:06.495448,11.59	11.98
2023-07-27 11:55:06.507456,11.47	11.95
2023-07-27 11:55:06.524371,11.02	11.54
2023-07-27 11:55:06.536459,10.69	11.11
2023-07-27 11:55:06.548450,10.49	10.96
2023-07-27 11:55:06.565076,10.32	10.73
2023-07-27 11:55:06.577004,10.17	10.51
2023-07-27 11:55:06.594002,10.08	10.51
2023-07-27 11:55:06.606008,10.16	10.42
2023-07-27 11:55:06.622126,10.16	10.49
2023-07-27 11:55:06.635105,10.17	10.62
2023-07-27 11:55:06.647208,10.19	10.55
2023-07-27 11:55:06.663763,10.18	10.61
2023-07-27 11:55:06.675637,10.06	10.55
2023-07-27 11:55:06.691696,10.11	10.63
2023-07-27 11:55:06.704737,10.04	10.62
2023-07-27 11:55:06.716643,10.22	10.62
2023-07-27 11:55:06.732747,10.17	10.67
2023-07-27 11:55:06.745642,10.20	10.64
2023-07-27 11:55:06.761719,10.07	10.66
2023-07-27 11:55:06.774344,10.09	10.59
2023-07-27 11:55:06.790277,10.10	10.71
2023-07-27 11:55:06.802390,10.17	10.61
2023-07-27 11:55:06.815237,10.15	10.65
2023-07-27 11:55:06.831475,10.13	10.63
2023-07-27 11:55:06.843371,10.15	10.60
2023-07-27 11:55:06.860441,10.13	10.63
2023-07-27 11:55:06.872961,10.11	10.72
2023-07-27 11:55:06.889044,10.13	10.68
2023-07-27 11:55:06.901071,10.15	10.66
2023-07-27 11:55:06.913047,10.40	10.59
