Timestamp,Data
2023-07-26 10:50:31.371939,| angle_pitch = 10.44 | angle_roll = 8.91
2023-07-26 10:50:31.375571,| angle_pitch = 10.58 | angle_roll = 9.02
2023-07-26 10:50:31.379561,| angle_pitch = 10.45 | angle_roll = 9.23
2023-07-26 10:50:31.383560,| angle_pitch = 10.32 | angle_roll = 8.87
2023-07-26 10:50:31.387690,| angle_pitch = 10.58 | angle_roll = 9.06
2023-07-26 10:50:31.391689,| angle_pitch = 10.59 | angle_roll = 8.91
2023-07-26 10:50:31.396746,| angle_pitch = 10.72 | angle_roll = 9.07
2023-07-26 10:50:31.400741,| angle_pitch = 10.40 | angle_roll = 8.86
2023-07-26 10:50:31.404899,| angle_pitch = 10.36 | angle_roll = 8.92
2023-07-26 10:50:31.408916,| angle_pitch = 10.63 | angle_roll = 8.93
2023-07-26 10:50:31.411911,| angle_pitch = 10.26 | angle_roll = 9.10
2023-07-26 10:50:31.416552,| angle_pitch = 10.48 | angle_roll = 8.83
2023-07-26 10:50:31.421549,| angle_pitch = 10.64 | angle_roll = 9.13
2023-07-26 10:50:31.424641,| angle_pitch = 10.52 | angle_roll = 9.40
2023-07-26 10:50:31.425649,| angle_pitch = 10.67 | angle_roll = 9.21
2023-07-26 10:50:31.429647,| angle_pitch = 10.45 | angle_roll = 8.88
2023-07-26 10:50:31.433166,| angle_pitch = 10.23 | angle_roll = 9.01
2023-07-26 10:50:31.437706,| angle_pitch = 10.34 | angle_roll = 9.23
2023-07-26 10:50:31.441762,| angle_pitch = 11.00 | angle_roll = 9.08
2023-07-26 10:50:31.445800,| angle_pitch = 10.22 | angle_roll = 9.23
2023-07-26 10:50:31.449798,| angle_pitch = 10.64 | angle_roll = 8.68
2023-07-26 10:50:31.453311,| angle_pitch = 10.46 | angle_roll = 9.03
2023-07-26 10:50:31.457880,| angle_pitch = 10.21 | angle_roll = 9.02
2023-07-26 10:50:31.461871,| angle_pitch = 10.83 | angle_roll = 8.67
2023-07-26 10:50:31.465957,| angle_pitch = 10.33 | angle_roll = 9.09
2023-07-26 10:50:31.469941,| angle_pitch = 10.47 | angle_roll = 8.92
2023-07-26 10:50:31.474466,| angle_pitch = 10.62 | angle_roll = 9.22
2023-07-26 10:50:31.478991,| angle_pitch = 10.80 | angle_roll = 8.94
2023-07-26 10:50:31.482013,| angle_pitch = 10.41 | angle_roll = 9.32
2023-07-26 10:50:31.486617,| angle_pitch = 10.42 | angle_roll = 9.18
2023-07-26 10:50:31.490621,| angle_pitch = 10.17 | angle_roll = 8.72
2023-07-26 10:50:31.494937,| angle_pitch = 10.46 | angle_roll = 9.29
2023-07-26 10:50:31.498884,| angle_pitch = 10.67 | angle_roll = 9.13
2023-07-26 10:50:31.501986,| angle_pitch = 10.72 | angle_roll = 8.93
2023-07-26 10:50:31.507040,| angle_pitch = 10.37 | angle_roll = 9.12
2023-07-26 10:50:31.511066,| angle_pitch = 10.57 | angle_roll = 9.30
