Timestamp,Data
2023-07-26 10:35:25.186015,angle_roll = 9.01
2023-07-26 10:35:25.186015,| angle_pitch = 11.21 | angle_roll = 8.79
2023-07-26 10:35:25.187020,| angle_pitch = 10.91 | angle_roll = 8.97
