Timestamp,Data
2023-08-02 14:12:11.718655,AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 14:12:11.720697,123	-57	4797	-174	5	-63
2023-08-02 14:12:11.721651,126	-54	4798	-173	8	-63
2023-08-02 14:12:11.721651,119	-52	4801	-175	9	-63
2023-08-02 14:12:11.742655,119	-54	4796	-174	9	-66
2023-08-02 14:12:11.770713,121	-56	4802	-173	11	-66
2023-08-02 14:12:11.795785,120	-54	4802	-174	10	-65
2023-08-02 14:12:11.824790,122	-58	4799	-173	8	-64
2023-08-02 14:12:11.848794,119	-55	4795	-173	9	-65
2023-08-02 14:12:11.877808,120	-54	4796	-173	10	-62
2023-08-02 14:12:11.902324,118	-55	4797	-172	8	-64
2023-08-02 14:12:11.926323,118	-56	4796	-174	6	-65
2023-08-02 14:12:11.955364,120	-56	4791	-173	9	-64
2023-08-02 14:12:11.979779,118	-54	4792	-174	9	-64
2023-08-02 14:12:12.004187,120	-56	4795	-175	8	-65
2023-08-02 14:12:12.033206,122	-59	4797	-174	8	-65
2023-08-02 14:12:12.058184,125	-60	4796	-174	6	-63
2023-08-02 14:12:12.082267,125	-56	4798	-173	7	-64
2023-08-02 14:12:12.110957,125	-57	4797	-173	8	-65
2023-08-02 14:12:12.135908,123	-55	4804	-173	7	-63
2023-08-02 14:12:12.159975,121	-57	4799	-174	6	-63
2023-08-02 14:12:12.189086,121	-55	4797	-173	8	-65
2023-08-02 14:12:12.213161,122	-53	4793	-173	7	-63
2023-08-02 14:12:12.238302,123	-54	4797	-175	8	-63
2023-08-02 14:12:12.266252,127	-57	4798	-174	8	-63
2023-08-02 14:12:12.291064,124	-57	4796	-173	10	-63
2023-08-02 14:12:12.320072,126	-58	4796	-174	9	-62
2023-08-02 14:12:12.344086,123	-56	4798	-175	10	-64
2023-08-02 14:12:12.369160,120	-55	4801	-174	9	-64
2023-08-02 14:12:12.397785,124	-58	4790	-173	9	-63
2023-08-02 14:12:12.422787,123	-56	4790	-173	8	-63
2023-08-02 14:12:12.446788,124	-56	4792	-173	9	-64
2023-08-02 14:12:12.475487,124	-55	4796	-174	9	-62
2023-08-02 14:12:12.499706,124	-58	4797	-173	9	-63
2023-08-02 14:12:12.524881,121	-56	4795	-171	9	-64
2023-08-02 14:12:12.553721,124	-53	4796	-173	9	-63
2023-08-02 14:12:12.577846,124	-57	4797	-173	7	-62
2023-08-02 14:12:12.602689,124	-59	4794	-173	8	-64
2023-08-02 14:12:12.631546,122	-57	4796	-174	9	-64
2023-08-02 14:12:12.655537,125	-56	4796	-174	10	-63
2023-08-02 14:12:12.684674,122	-59	4799	-175	8	-64
2023-08-02 14:12:12.709408,125	-59	4797	-175	9	-64
2023-08-02 14:12:12.734439,123	-56	4793	-174	8	-63
2023-08-02 14:12:12.762591,120	-56	4798	-174	7	-63
2023-08-02 14:12:12.786991,122	-56	4797	-174	8	-63
2023-08-02 14:12:12.811548,121	-57	4794	-174	9	-63
2023-08-02 14:12:12.839860,124	-55	4794	-172	11	-65
2023-08-02 14:12:12.864875,125	-55	4795	-173	9	-64
2023-08-02 14:12:12.893579,126	-59	4793	-172	8	-64
2023-08-02 14:12:12.917667,121	-56	4797	-172	9	-63
2023-08-02 14:12:12.946580,122	-54	4795	-172	10	-64
2023-08-02 14:12:12.970578,125	-53	4798	-172	11	-65
2023-08-02 14:12:13.000292,129	-56	4801	-172	9	-65
2023-08-02 14:12:13.024389,124	-58	4796	-172	9	-66
2023-08-02 14:12:13.048486,125	-59	4797	-174	8	-64
2023-08-02 14:12:13.077526,127	-57	4801	-173	7	-63
2023-08-02 14:12:13.101855,124	-55	4795	-172	8	-63
2023-08-02 14:12:13.126941,124	-54	4796	-172	8	-64
2023-08-02 14:12:13.155854,125	-54	4802	-172	9	-64
2023-08-02 14:12:13.180104,128	-57	4801	-172	8	-62
2023-08-02 14:12:13.204914,125	-53	4800	-172	7	-64
2023-08-02 14:12:13.233742,123	-57	4794	-173	6	-62
2023-08-02 14:12:13.257887,126	-54	4797	-173	7	-62
2023-08-02 14:12:13.282776,125	-55	4799	-173	7	-63
2023-08-02 14:12:13.311039,124	-57	4794	-173	11	-63
2023-08-02 14:12:13.336036,124	-60	4792	-172	11	-63
2023-08-02 14:12:13.364037,126	-57	4796	-172	10	-62
2023-08-02 14:12:13.389058,122	-53	4803	-172	9	-63
2023-08-02 14:12:13.417248,122	-57	4802	-172	9	-64
2023-08-02 14:12:13.442235,121	-58	4805	-172	7	-65
2023-08-02 14:12:13.467349,120	-57	4805	-173	6	-65
2023-08-02 14:12:13.494916,124	-53	4799	-173	9	-64
2023-08-02 14:12:13.519835,125	-54	4793	-173	9	-64
2023-08-02 14:12:13.544791,126	-51	4791	-174	8	-65
2023-08-02 14:12:13.573484,121	-54	4796	-174	11	-64
2023-08-02 14:12:13.601815,123	-57	4798	-174	10	-65
2023-08-02 14:12:13.626956,123	-57	4800	-173	10	-65
2023-08-02 14:12:13.655077,121	-60	4791	-174	10	-64
2023-08-02 14:12:13.679963,122	-55	4790	-174	11	-65
2023-08-02 14:12:13.708620,122	-58	4794	-174	9	-65
2023-08-02 14:12:13.733508,121	-57	4795	-174	7	-63
2023-08-02 14:12:13.757632,124	-57	4798	-172	9	-64
2023-08-02 14:12:13.785646,121	-54	4803	-172	9	-64
2023-08-02 14:12:13.810929,122	-57	4805	-172	8	-63
2023-08-02 14:12:13.834950,126	-57	4800	-173	8	-63
2023-08-02 14:12:13.863937,126	-57	4797	-172	10	-64
2023-08-02 14:12:13.888939,124	-57	4796	-174	8	-61
2023-08-02 14:12:13.917451,125	-59	4793	-174	8	-62
2023-08-02 14:12:13.941527,126	-58	4794	-174	9	-64
2023-08-02 14:12:13.970527,126	-58	4800	-173	10	-63
2023-08-02 14:12:13.995047,123	-59	4798	-173	10	-63
2023-08-02 14:12:14.020036,126	-56	4798	-173	9	-64
2023-08-02 14:12:14.048133,125	-56	4799	-173	10	-62
2023-08-02 14:12:14.077224,127	-53	4800	-173	10	-65
2023-08-02 14:12:14.101221,123	-59	4799	-173	10	-64
2023-08-02 14:12:14.130276,123	-61	4801	-173	10	-63
2023-08-02 14:12:14.154471,122	-62	4796	-174	9	-65
2023-08-02 14:12:14.179627,123	-60	4797	-174	9	-66
2023-08-02 14:12:14.208158,118	-61	4795	-173	9	-65
2023-08-02 14:12:14.232138,120	-64	4798	-174	9	-63
2023-08-02 14:12:14.261204,123	-57	4799	-174	10	-65
2023-08-02 14:12:14.286208,123	-53	4795	-174	10	-63
2023-08-02 14:12:14.314455,124	-54	4792	-174	11	-64
2023-08-02 14:12:14.339453,124	-55	4795	-173	10	-63
2023-08-02 14:12:14.367479,124	-56	4794	-173	9	-62
2023-08-02 14:12:14.392643,126	-60	4793	-172	9	-64
2023-08-02 14:12:14.417204,125	-58	4799	-174	9	-65
2023-08-02 14:12:14.445258,125	-56	4794	-174	7	-64
2023-08-02 14:12:14.470163,124	-55	4797	-174	10	-65
2023-08-02 14:12:14.498547,123	-57	4795	-173	8	-66
2023-08-02 14:12:14.523465,126	-54	4796	-174	9	-65
2023-08-02 14:12:14.547761,122	-53	4792	-175	7	-65
2023-08-02 14:12:14.576809,124	-54	4797	-174	11	-66
2023-08-02 14:12:14.605499,124	-54	4798	-172	11	-64
2023-08-02 14:12:14.630331,124	-53	4795	-174	10	-64
2023-08-02 14:12:14.658516,125	-50	4794	-174	10	-63
2023-08-02 14:12:14.683452,124	-53	4798	-174	9	-64
2023-08-02 14:12:14.711685,124	-56	4798	-174	10	-64
2023-08-02 14:12:14.736782,125	-58	4803	-172	9	-64
2023-08-02 14:12:14.760785,125	-57	4801	-173	9	-62
2023-08-02 14:12:14.789960,124	-56	4804	-173	10	-64
2023-08-02 14:12:14.814637,126	-57	4800	-173	8	-65
2023-08-02 14:12:14.842763,126	-61	4801	-173	6	-63
2023-08-02 14:12:14.867721,122	-60	4798	-173	9	-64
2023-08-02 14:12:14.891833,127	-54	4796	-173	9	-64
2023-08-02 14:12:14.921157,123	-58	4792	-173	11	-62
2023-08-02 14:12:14.945160,121	-56	4793	-173	10	-64
2023-08-02 14:12:14.974159,122	-56	4792	-173	7	-66
2023-08-02 14:12:14.998827,123	-57	4795	-173	8	-63
2023-08-02 14:12:15.026807,125	-57	4790	-173	7	-63
2023-08-02 14:12:15.052185,119	-57	4792	-172	8	-63
2023-08-02 14:12:15.076532,118	-59	4793	-174	8	-63
2023-08-02 14:12:15.105050,119	-58	4799	-174	9	-63
2023-08-02 14:12:15.129917,120	-55	4798	-174	9	-65
2023-08-02 14:12:15.153932,124	-55	4798	-173	10	-65
2023-08-02 14:12:15.183088,122	-58	4801	-174	8	-64
2023-08-02 14:12:15.207751,118	-57	4806	-174	7	-65
2023-08-02 14:12:15.231769,120	-54	4803	-174	7	-65
2023-08-02 14:12:15.260776,125	-56	4799	-174	8	-63
2023-08-02 14:12:15.285210,125	-60	4800	-174	10	-63
2023-08-02 14:12:15.314227,122	-56	4793	-174	9	-64
2023-08-02 14:12:15.338349,125	-58	4796	-175	7	-63
2023-08-02 14:12:15.363239,127	-58	4797	-173	7	-64
2023-08-02 14:12:15.391497,128	-54	4796	-174	9	-65
2023-08-02 14:12:15.416566,122	-56	4797	-174	11	-63
2023-08-02 14:12:15.444566,124	-55	4800	-173	10	-64
2023-08-02 14:12:15.469711,122	-59	4800	-172	10	-64
