Timestamp,Data
2023-08-02 16:15:08.452457,1AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:15:10.531411,84	-76	4790	-176	5	-69
2023-08-02 16:15:10.555609,82	-77	4786	-176	5	-68
2023-08-02 16:15:10.580450,89	-77	4795	-176	7	-68
2023-08-02 16:15:10.604401,86	-73	4793	-176	7	-67
2023-08-02 16:15:10.629446,84	-74	4791	-177	6	-68
2023-08-02 16:15:10.653415,89	-79	4797	-176	7	-66
2023-08-02 16:15:10.678832,86	-77	4793	-177	7	-66
2023-08-02 16:15:10.702835,88	-79	4792	-177	5	-66
2023-08-02 16:15:10.731910,88	-75	4794	-176	6	-66
2023-08-02 16:15:10.756840,86	-74	4797	-178	6	-68
2023-08-02 16:15:10.781133,89	-75	4788	-179	7	-69
2023-08-02 16:15:10.805129,86	-76	4790	-178	7	-67
2023-08-02 16:15:10.830266,89	-74	4788	-177	7	-65
2023-08-02 16:15:10.854323,90	-76	4792	-177	6	-66
2023-08-02 16:15:10.879153,89	-74	4797	-175	8	-66
2023-08-02 16:15:10.903318,87	-74	4787	-175	7	-66
2023-08-02 16:15:10.928474,86	-75	4794	-176	5	-67
2023-08-02 16:15:10.952355,90	-75	4791	-175	6	-68
2023-08-02 16:15:10.977089,89	-75	4792	-174	6	-67
2023-08-02 16:15:11.001975,86	-73	4789	-175	8	-68
2023-08-02 16:15:11.031026,85	-73	4795	-175	5	-68
2023-08-02 16:15:11.055097,86	-72	4795	-175	6	-70
2023-08-02 16:15:11.080240,88	-77	4787	-174	4	-68
2023-08-02 16:15:11.104172,92	-75	4794	-175	7	-66
2023-08-02 16:15:11.129176,91	-76	4793	-176	7	-67
2023-08-02 16:15:11.153053,86	-75	4794	-174	7	-67
2023-08-02 16:15:11.178327,83	-77	4792	-175	8	-67
2023-08-02 16:15:11.202876,87	-76	4790	-176	8	-67
2023-08-02 16:15:11.227863,91	-78	4791	-173	8	-66
2023-08-02 16:15:11.251907,93	-77	4783	-174	8	-66
2023-08-02 16:15:11.280194,94	-76	4789	-174	11	-66
2023-08-02 16:15:11.305133,88	-74	4785	-173	10	-67
2023-08-02 16:15:11.330147,86	-72	4785	-174	10	-67
2023-08-02 16:15:11.354355,91	-74	4795	-176	7	-66
2023-08-02 16:15:11.379199,94	-74	4788	-177	0	-67
2023-08-02 16:15:11.407321,87	-74	4788	-173	-10	-76
2023-08-02 16:15:11.432518,74	-74	4794	-178	10	-68
2023-08-02 16:15:11.460739,119	-79	4797	-190	30	-58
2023-08-02 16:15:11.485223,97	-97	4801	-194	17	-93
2023-08-02 16:15:11.510168,54	-85	4794	-186	5	-51
2023-08-02 16:15:11.539046,82	-90	4813	-151	-42	-53
2023-08-02 16:15:11.567636,30	-14	4736	-119	-81	-163
2023-08-02 16:15:11.595741,75	-118	4817	-152	-44	-130
2023-08-02 16:15:11.624732,150	-107	4787	-161	1	-85
2023-08-02 16:15:11.649626,110	-93	4799	-163	10	-57
2023-08-02 16:15:11.673517,86	-81	4796	-167	14	-60
2023-08-02 16:15:11.702642,56	-74	4800	-168	-1	-55
2023-08-02 16:15:11.726790,60	-63	4804	-169	-10	-68
2023-08-02 16:15:11.755778,126	-54	4785	-168	-16	-87
2023-08-02 16:15:11.784328,148	-68	4784	-172	-5	-76
2023-08-02 16:15:11.809039,94	-69	4794	-170	10	-78
2023-08-02 16:15:11.833291,60	-78	4791	-166	16	-94
2023-08-02 16:15:11.862474,66	-69	4796	-174	13	-113
2023-08-02 16:15:11.891081,136	-79	4797	-191	-14	-44
2023-08-02 16:15:11.918993,61	-91	4791	-181	-16	-41
2023-08-02 16:15:11.944121,94	-93	4792	-175	13	-58
2023-08-02 16:15:11.968356,150	-61	4786	-171	21	-69
2023-08-02 16:15:11.997485,50	-54	4755	-116	-7	-60
2023-08-02 16:15:12.021369,30	-93	4809	-155	0	-114
2023-08-02 16:15:12.050511,116	-73	4793	-141	-56	-98
2023-08-02 16:15:12.079687,132	-48	4776	-155	-37	-73
2023-08-02 16:15:12.107823,144	-42	4781	-158	-12	-112
2023-08-02 16:15:12.132771,122	-59	4793	-179	19	-41
2023-08-02 16:15:12.160777,87	-70	4795	-184	9	-59
2023-08-02 16:15:12.185567,100	-78	4794	-180	-13	-76
2023-08-02 16:15:12.214172,135	-52	4789	-195	-24	-67
2023-08-02 16:15:12.243118,177	-57	4780	-203	-18	-49
2023-08-02 16:15:12.271695,93	-136	4736	-162	-52	-26
2023-08-02 16:15:12.296715,75	-76	4815	-166	-48	69
2023-08-02 16:15:12.325573,-9	-47	4808	-171	-34	-11
2023-08-02 16:15:12.353599,114	-57	4793	-181	-22	-25
2023-08-02 16:15:12.378777,116	-82	4786	-193	3	-57
2023-08-02 16:15:12.406904,109	-89	4792	-182	16	-38
2023-08-02 16:15:12.431868,68	-71	4794	-177	15	-65
2023-08-02 16:15:12.455846,94	-63	4795	-165	8	-68
2023-08-02 16:15:12.484492,147	-58	4792	-177	-1	-66
2023-08-02 16:15:12.509586,101	-78	4793	-184	1	-69
2023-08-02 16:15:12.533618,106	-79	4792	-176	2	-56
2023-08-02 16:15:12.562631,104	-72	4797	-175	2	-57
2023-08-02 16:15:12.586983,138	-58	4785	-187	1	-37
2023-08-02 16:15:12.612009,91	-61	4793	-186	0	-52
2023-08-02 16:15:12.635989,112	-71	4797	-180	0	-58
2023-08-02 16:15:12.665324,108	-72	4793	-178	-7	-68
2023-08-02 16:15:12.689415,96	-69	4791	-169	-6	-89
2023-08-02 16:15:12.718419,118	-71	4790	-167	4	-100
2023-08-02 16:15:12.742545,131	-73	4789	-172	7	-77
2023-08-02 16:15:12.771372,119	-77	4793	-171	10	-81
2023-08-02 16:15:12.796274,95	-69	4794	-177	6	-71
2023-08-02 16:15:12.820272,102	-63	4791	-178	5	-70
2023-08-02 16:15:12.849297,109	-64	4789	-175	12	-79
2023-08-02 16:15:12.873577,126	-77	4795	-168	13	-93
2023-08-02 16:15:12.902486,129	-78	4824	-158	7	-98
2023-08-02 16:15:12.931508,422	26	4938	-246	-101	-372
2023-08-02 16:15:12.959498,405	73	5022	-121	-53	-450
2023-08-02 16:15:12.988011,297	162	4946	-332	-24	-188
2023-08-02 16:15:13.017105,86	108	5032	-253	-171	262
2023-08-02 16:15:13.042018,106	-29	5009	-247	58	663
2023-08-02 16:15:13.066127,22	15	4703	-296	35	866
2023-08-02 16:15:13.094749,-78	97	4684	-454	192	1106
2023-08-02 16:15:13.123643,-69	-84	4841	-8	-193	1303
2023-08-02 16:15:13.151647,51	-60	4485	-357	-565	1316
2023-08-02 16:15:13.181230,283	-180	4980	-478	230	1163
2023-08-02 16:15:13.213194,235	-372	4947	-104	398	772
2023-08-02 16:15:13.238196,-415	-450	4659	43	264	129
2023-08-02 16:15:13.270825,-244	-311	4856	-116	154	-308
2023-08-02 16:15:13.299971,-319	-122	4958	-114	237	-23
2023-08-02 16:15:13.328818,-315	-204	4984	185	263	734
2023-08-02 16:15:13.361014,-238	-162	4886	200	353	813
2023-08-02 16:15:13.385363,7	-239	4793	-53	359	303
2023-08-02 16:15:13.414313,236	-374	4445	-157	124	-434
2023-08-02 16:15:13.447381,175	-135	4541	-172	-167	-1293
2023-08-02 16:15:13.475855,146	66	4721	-331	118	-1934
2023-08-02 16:15:13.508856,177	143	5352	-424	248	-2375
2023-08-02 16:15:13.536849,-23	242	5322	-372	47	-3016
2023-08-02 16:15:13.565861,-246	350	5648	-350	-148	-3254
2023-08-02 16:15:13.598379,-101	431	6034	7	-473	-3224
2023-08-02 16:15:13.627374,-196	305	5478	37	-255	-2507
2023-08-02 16:15:13.656390,442	-241	4953	13	-154	-1626
2023-08-02 16:15:13.684916,259	-12	4017	363	-45	-958
2023-08-02 16:15:13.712912,370	-118	4316	291	305	-518
2023-08-02 16:15:13.742911,-147	45	5424	-265	-10	-132
2023-08-02 16:15:13.770303,-350	254	5335	-608	227	-51
2023-08-02 16:15:13.803281,362	-173	4499	-467	-226	104
2023-08-02 16:15:13.832282,500	-260	3815	-259	-327	-299
2023-08-02 16:15:13.864629,141	-320	3800	-388	509	-786
2023-08-02 16:15:13.893678,-512	-240	5010	-205	525	-918
2023-08-02 16:15:13.922679,-440	-95	6043	939	445	-542
2023-08-02 16:15:13.950678,76	-6	4674	735	175	-390
2023-08-02 16:15:13.979300,75	-82	3977	-322	-440	-234
2023-08-02 16:15:14.008290,139	-102	4783	-356	248	35
2023-08-02 16:15:14.037199,-767	510	5888	-469	354	229
2023-08-02 16:15:14.069767,-1325	-454	4752	-363	-597	156
2023-08-02 16:15:14.097850,-5	-448	4660	-316	-769	294
2023-08-02 16:15:14.126855,-409	-385	4813	-341	429	-3
2023-08-02 16:15:14.151765,15	-70	4265	437	-42	-226
2023-08-02 16:15:14.184247,-1059	-120	5353	180	476	-374
2023-08-02 16:15:14.213388,-1095	-2	4075	361	554	-269
2023-08-02 16:15:14.245519,-549	-227	4605	-279	-11	-144
2023-08-02 16:15:14.274461,-1441	-160	5029	-704	359	39
2023-08-02 16:15:14.307395,-1013	-217	5318	-813	-385	540
2023-08-02 16:15:14.335356,-360	-346	5039	328	-305	965
2023-08-02 16:15:14.368880,-1062	-391	4649	622	-139	1115
2023-08-02 16:15:14.397585,-982	-245	4279	217	58	1248
2023-08-02 16:15:14.430584,-369	-343	4927	-376	-42	1405
2023-08-02 16:15:14.462612,-4711	-1015	5696	-853	45	1159
2023-08-02 16:15:14.491110,-1644	-689	4129	-355	362	851
2023-08-02 16:15:14.520110,-251	-728	4153	-160	89	336
2023-08-02 16:15:14.553110,-1110	-765	4066	172	176	-569
2023-08-02 16:15:14.585644,-433	-264	5056	522	-65	-1351
2023-08-02 16:15:14.614641,-752	-236	6389	-209	164	-2189
2023-08-02 16:15:14.651642,-2215	-675	5905	-61	-362	-2478
2023-08-02 16:15:14.680190,-567	-372	4505	-85	-108	-2324
2023-08-02 16:15:14.712191,-26	-471	4242	-100	-266	-1799
2023-08-02 16:15:14.745190,-30	-396	4403	399	-442	-984
2023-08-02 16:15:14.769713,-79	-58	4439	565	-242	72
2023-08-02 16:15:14.802353,-2034	-824	6162	-461	85	535
2023-08-02 16:15:14.831367,-434	-246	5123	-416	-303	965
2023-08-02 16:15:14.864359,-135	-246	4145	-348	-440	1250
2023-08-02 16:15:14.893115,111	-317	4274	-1063	95	1105
2023-08-02 16:15:14.925648,-1761	-416	5576	-180	-362	868
2023-08-02 16:15:14.958651,-991	-548	5833	124	-103	779
2023-08-02 16:15:14.987169,-2304	-246	4299	-324	621	760
2023-08-02 16:15:15.020171,-624	-471	4533	-408	-375	1095
2023-08-02 16:15:15.052168,-458	-781	4143	-1303	-356	964
2023-08-02 16:15:15.085687,-3045	-1114	5090	-635	469	608
2023-08-02 16:15:15.117698,-2384	-820	5539	-307	-478	300
2023-08-02 16:15:15.146829,-1996	-480	5814	-246	100	211
2023-08-02 16:15:15.179428,-723	-194	5077	-158	523	135
2023-08-02 16:15:15.208489,-645	-464	4515	195	-837	271
2023-08-02 16:15:15.236520,-256	-177	4354	-684	85	64
2023-08-02 16:15:15.269980,-1570	-371	5834	-1391	-30	-369
2023-08-02 16:15:15.302085,-1517	-169	5570	-557	-357	-381
2023-08-02 16:15:15.331084,-1664	-6	5556	460	173	-154
2023-08-02 16:15:15.360100,-383	214	4051	475	284	173
2023-08-02 16:15:15.388705,-425	-156	3865	-261	-27	562
2023-08-02 16:15:15.417087,-577	-2	5952	-690	379	794
2023-08-02 16:15:15.450086,-1270	-191	4675	-378	-175	1276
2023-08-02 16:15:15.482502,-363	-425	4534	-335	-714	1345
