Timestamp,Data
2023-08-02 14:14:47.244174,AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 14:14:49.411388,125	-46	4796	-175	4	-62
2023-08-02 14:14:49.436513,121	-50	4803	-178	3	-65
2023-08-02 14:14:49.460699,125	-56	4796	-179	3	-62
2023-08-02 14:14:49.489743,127	-60	4799	-177	1	-63
2023-08-02 14:14:49.513574,124	-44	4805	-174	4	-61
2023-08-02 14:14:49.539048,116	-37	4807	-174	-1	-65
2023-08-02 14:14:49.567253,135	-55	4800	-175	3	-65
2023-08-02 14:14:49.592020,140	-60	4804	-173	3	-63
2023-08-02 14:14:49.616541,124	-56	4804	-173	6	-62
2023-08-02 14:14:49.645558,115	-50	4803	-174	4	-61
2023-08-02 14:14:49.669642,123	-55	4797	-175	5	-61
2023-08-02 14:14:49.694310,129	-59	4801	-174	4	-62
2023-08-02 14:14:49.723284,125	-59	4805	-172	3	-60
2023-08-02 14:14:49.747172,119	-51	4804	-172	3	-63
2023-08-02 14:14:49.776184,126	-47	4804	-174	1	-64
2023-08-02 14:14:49.800546,126	-60	4805	-174	3	-64
2023-08-02 14:14:49.825614,134	-62	4807	-174	5	-61
2023-08-02 14:14:49.854489,112	-51	4800	-176	3	-62
2023-08-02 14:14:49.877924,118	-47	4804	-176	-2	-65
2023-08-02 14:14:49.903504,147	-64	4807	-175	4	-66
2023-08-02 14:14:49.931723,140	-62	4804	-173	7	-62
2023-08-02 14:14:49.956420,114	-59	4804	-173	10	-63
2023-08-02 14:14:49.984743,116	-50	4811	-174	6	-64
2023-08-02 14:14:50.009777,77	-87	4806	-174	6	-59
2023-08-02 14:14:50.038650,130	-65	4834	-194	-34	-110
2023-08-02 14:14:50.066660,241	-34	4813	-174	-50	-167
2023-08-02 14:14:50.095620,197	-24	4793	-160	-20	-83
2023-08-02 14:14:50.120637,122	-21	4789	-170	60	71
2023-08-02 14:14:50.144770,-13	-57	4804	-176	35	-6
2023-08-02 14:14:50.173968,53	-52	4811	-170	17	-9
2023-08-02 14:14:50.198358,120	-53	4815	-175	10	-49
2023-08-02 14:14:50.222494,182	-55	4801	-175	9	-60
2023-08-02 14:14:50.251489,175	-43	4798	-205	7	-67
2023-08-02 14:14:50.276500,117	-43	4806	-206	7	-65
2023-08-02 14:14:50.305004,116	-50	4802	-199	5	-64
2023-08-02 14:14:50.329154,109	-50	4811	-196	4	-63
2023-08-02 14:14:50.354000,112	-57	4817	-167	5	-58
2023-08-02 14:14:50.382710,124	-56	4809	-147	5	-50
2023-08-02 14:14:50.406861,138	-61	4801	-153	3	-54
2023-08-02 14:14:50.431863,138	-61	4800	-164	1	-55
2023-08-02 14:14:50.460618,136	-62	4801	-172	-1	-60
2023-08-02 14:14:50.484790,144	-63	4796	-185	5	-62
2023-08-02 14:14:50.509847,141	-63	4797	-205	7	-69
2023-08-02 14:14:50.538785,141	-64	4804	-214	6	-73
2023-08-02 14:14:50.562802,130	-68	4808	-215	1	-68
2023-08-02 14:14:50.591829,109	-51	4804	-199	-6	-44
2023-08-02 14:14:50.615453,98	-57	4810	-177	-3	-57
2023-08-02 14:14:50.640841,116	-58	4812	-158	1	-59
2023-08-02 14:14:50.668802,140	-64	4797	-168	2	-60
2023-08-02 14:14:50.693897,157	-53	4812	-163	3	-68
2023-08-02 14:14:50.717763,177	-74	4802	-156	7	-63
2023-08-02 14:14:50.746770,140	-67	4810	-133	17	-53
2023-08-02 14:14:50.771819,60	-64	4801	-126	13	-54
2023-08-02 14:14:50.796108,83	-57	4795	-146	9	-65
2023-08-02 14:14:50.825137,123	-58	4803	-160	6	-67
2023-08-02 14:14:50.849552,157	-57	4805	-167	8	-67
2023-08-02 14:14:50.873718,143	-53	4806	-170	6	-62
2023-08-02 14:14:50.902260,125	-54	4809	-172	5	-64
2023-08-02 14:14:50.927475,133	-55	4806	-172	6	-65
2023-08-02 14:14:50.951344,131	-59	4804	-173	6	-62
