Timestamp,Data
2023-08-02 16:10:13.924349,-177	12	-73
2023-08-02 16:10:15.855729,76	-65	4783	-178	15	-74
2023-08-02 16:10:15.884022,77	-66	4784	-179	13	-74
2023-08-02 16:10:15.907893,78	-63	4778	-179	15	-74
2023-08-02 16:10:15.932890,78	-62	4781	-178	13	-73
2023-08-02 16:10:15.962081,73	-60	4783	-179	13	-74
2023-08-02 16:10:15.986212,74	-62	4786	-180	12	-74
2023-08-02 16:10:16.011205,76	-61	4779	-179	12	-74
2023-08-02 16:10:16.039207,77	-63	4780	-179	12	-74
2023-08-02 16:10:16.064038,77	-61	4784	-179	14	-74
2023-08-02 16:10:16.089056,84	-62	4781	-178	14	-76
2023-08-02 16:10:16.117947,82	-66	4779	-177	13	-74
2023-08-02 16:10:16.142054,79	-69	4783	-177	13	-74
2023-08-02 16:10:16.166940,79	-67	4782	-179	13	-75
2023-08-02 16:10:16.194954,80	-68	4787	-178	11	-74
2023-08-02 16:10:16.220430,76	-66	4784	-178	12	-75
2023-08-02 16:10:16.244501,76	-65	4787	-180	12	-75
2023-08-02 16:10:16.273127,81	-66	4782	-178	14	-76
2023-08-02 16:10:16.297564,79	-66	4784	-178	14	-73
2023-08-02 16:10:16.322449,79	-64	4786	-179	12	-74
2023-08-02 16:10:16.350623,79	-63	4783	-178	14	-74
2023-08-02 16:10:16.375391,80	-60	4779	-178	11	-73
2023-08-02 16:10:16.400365,79	-61	4783	-177	12	-74
2023-08-02 16:10:16.428442,79	-63	4782	-177	15	-74
2023-08-02 16:10:16.453526,77	-64	4787	-178	16	-76
2023-08-02 16:10:16.478083,78	-64	4784	-179	16	-77
2023-08-02 16:10:16.506088,75	-64	4783	-179	13	-76
2023-08-02 16:10:16.531226,78	-64	4783	-179	14	-78
