Timestamp,Data
2023-08-02 16:16:13.316846,AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:16:13.317839,465	-14	4889	-960	877	267
2023-08-02 16:16:13.318844,418	-31	4908	-964	738	266
2023-08-02 16:16:13.334940,401	-36	4880	-986	528	266
2023-08-02 16:16:13.363951,386	-82	4965	-1046	18	281
2023-08-02 16:16:13.392478,347	-120	5047	-808	-276	173
2023-08-02 16:16:13.421466,364	-94	4970	-429	-209	19
2023-08-02 16:16:13.449746,372	-42	4971	-265	-156	-88
2023-08-02 16:16:13.478149,426	3	4952	-246	-121	-32
2023-08-02 16:16:13.503269,444	39	4926	-474	-284	250
2023-08-02 16:16:13.531367,175	5	4805	-809	-565	693
2023-08-02 16:16:13.564355,239	-250	4653	-980	-573	1004
2023-08-02 16:16:13.592638,246	-484	4732	-875	-325	1124
2023-08-02 16:16:13.621743,-706	-1195	4779	-515	2	865
2023-08-02 16:16:13.654766,-695	-1239	4738	-313	-87	677
2023-08-02 16:16:13.687440,-1097	-1163	4743	-73	-528	813
2023-08-02 16:16:13.715535,-1309	-932	4654	534	-693	889
2023-08-02 16:16:13.748590,-1359	-1086	4441	1686	-156	641
2023-08-02 16:16:13.781476,-781	-1298	4358	2779	734	493
2023-08-02 16:16:13.809910,89	-386	3898	2889	1689	310
2023-08-02 16:16:13.842769,337	-123	4328	2131	1340	267
2023-08-02 16:16:13.867761,329	135	4281	284	529	748
2023-08-02 16:16:13.895439,137	77	4434	-1305	317	1182
2023-08-02 16:16:13.924427,310	64	4266	-2237	85	1436
2023-08-02 16:16:13.953509,459	-60	4474	-2190	409	1272
2023-08-02 16:16:13.986161,567	-81	4555	-1285	1279	904
2023-08-02 16:16:14.014692,514	-90	4790	-112	2104	592
2023-08-02 16:16:14.039961,395	6	4824	420	2173	478
2023-08-02 16:16:14.068187,316	82	4906	312	1751	232
2023-08-02 16:16:14.092677,170	109	4966	-299	732	38
2023-08-02 16:16:14.121655,147	43	4926	-834	-105	9
2023-08-02 16:16:14.149509,130	31	4954	-991	-514	208
2023-08-02 16:16:14.178611,71	-269	4759	-685	-453	455
2023-08-02 16:16:14.207298,-112	-481	4755	-176	-91	514
2023-08-02 16:16:14.236364,-483	-1106	4837	1	-21	668
2023-08-02 16:16:14.265425,-2098	-881	4738	-55	-275	853
2023-08-02 16:16:14.301861,-1122	-1385	4990	-955	-391	861
2023-08-02 16:16:14.334769,-425	-1306	5029	-1622	-273	488
2023-08-02 16:16:14.362857,-358	-890	4757	-815	-811	465
2023-08-02 16:16:14.395296,-578	-970	4811	-372	-1109	389
2023-08-02 16:16:14.428546,-1023	-1346	4735	-25	-1139	524
2023-08-02 16:16:14.465650,-1088	-834	4719	-276	-1653	1230
2023-08-02 16:16:14.498864,-1212	-1352	4429	-1070	-2035	1773
2023-08-02 16:16:14.534828,-848	-1084	4270	-1594	-1396	1933
2023-08-02 16:16:14.567833,-153	-1101	4306	-1563	945	1637
2023-08-02 16:16:14.600525,-245	-1194	4607	-624	2664	1129
2023-08-02 16:16:14.632960,-116	-1162	4801	-109	3008	570
2023-08-02 16:16:14.666130,-282	-1212	4889	-562	2102	375
2023-08-02 16:16:14.698411,-1771	-392	4862	-1281	914	495
2023-08-02 16:16:14.727414,-1346	-827	4820	-499	516	477
2023-08-02 16:16:14.760414,-1245	-1220	4881	905	512	326
2023-08-02 16:16:14.792569,-937	-710	4950	1047	-239	-236
2023-08-02 16:16:14.826246,-1126	-952	5051	-1089	-472	-9
2023-08-02 16:16:14.858436,-2038	-1319	4951	-2456	-1054	374
2023-08-02 16:16:14.894893,-946	-949	4553	-1653	-1693	259
2023-08-02 16:16:14.924067,-685	-1119	4680	-945	-368	709
2023-08-02 16:16:14.957006,-296	-925	4793	1156	1910	1285
2023-08-02 16:16:14.989667,-878	-909	5542	1329	1859	965
2023-08-02 16:16:15.018188,-1747	-302	5465	693	438	651
2023-08-02 16:16:15.051236,-1662	-281	5174	-735	-284	817
2023-08-02 16:16:15.083762,-1156	-580	5065	-1527	-941	1246
2023-08-02 16:16:15.120869,-1749	-1332	4897	-1478	-260	2036
2023-08-02 16:16:15.153823,-985	-1455	4818	-490	137	2349
2023-08-02 16:16:15.186365,-1261	-1387	4637	372	-529	1537
2023-08-02 16:16:15.219389,-805	-1387	4542	815	-1569	101
2023-08-02 16:16:15.251478,-365	-1382	4346	1417	-1920	-1423
2023-08-02 16:16:15.284001,25	-971	4138	2989	-1031	-2793
2023-08-02 16:16:15.317130,-16	-1153	4097	3733	481	-2911
2023-08-02 16:16:15.354199,-287	-1059	4254	2787	1839	-2452
2023-08-02 16:16:15.383434,-616	-606	4681	583	3195	-2217
2023-08-02 16:16:15.419738,-1646	-641	6373	-831	3056	-1764
2023-08-02 16:16:15.447874,-1411	-380	5434	29	-547	-578
2023-08-02 16:16:15.481126,-1043	-610	4623	1685	-314	436
2023-08-02 16:16:15.514691,-951	-1039	4418	1454	169	780
2023-08-02 16:16:15.542098,-915	-898	4394	-849	-248	349
2023-08-02 16:16:15.579105,-1393	-722	4284	-2696	304	-139
2023-08-02 16:16:15.607618,-348	-257	5265	-258	-258	-258
2023-08-02 16:16:15.641126,-1059	-695	4797	-252	-665	-90
2023-08-02 16:16:15.673862,-829	-540	4332	-708	-148	95
2023-08-02 16:16:15.702645,-566	-664	4681	-1288	547	265
2023-08-02 16:16:15.731480,-598	-415	5127	326	-91	962
2023-08-02 16:16:15.763476,-1055	-402	4723	465	-93	898
2023-08-02 16:16:15.792925,-2354	-565	4551	-330	110	427
2023-08-02 16:16:15.829025,-4271	-845	4590	-1299	-495	-312
2023-08-02 16:16:15.858012,-2011	-719	4696	-113	-82	-404
2023-08-02 16:16:15.891011,-1082	-663	4445	520	268	-311
2023-08-02 16:16:15.923018,-1487	-492	4465	695	190	-482
2023-08-02 16:16:15.952436,-1146	-530	5006	482	171	-751
2023-08-02 16:16:15.985158,-838	-705	4914	361	-297	-832
