Timestamp,Data
2023-08-02 14:57:33.346349,AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 14:57:33.346349,139	-88	4787	-185	12	-75
2023-08-02 14:57:33.347493,154	-101	4797	-175	15	-79
2023-08-02 14:57:33.356636,136	-82	4787	-192	14	-87
2023-08-02 14:57:33.385081,86	-85	4790	-178	13	-79
2023-08-02 14:57:33.409844,131	-78	4793	-178	9	-75
2023-08-02 14:57:33.433745,113	-81	4785	-178	9	-73
2023-08-02 14:57:33.462750,138	-90	4789	-181	13	-70
2023-08-02 14:57:33.486894,120	-86	4789	-185	16	-76
2023-08-02 14:57:33.516407,119	-88	4793	-181	11	-73
2023-08-02 14:57:33.540792,118	-84	4790	-181	9	-76
2023-08-02 14:57:33.569015,130	-88	4788	-180	8	-74
2023-08-02 14:57:33.593936,133	-89	4793	-181	12	-75
2023-08-02 14:57:33.622954,129	-84	4784	-182	15	-76
2023-08-02 14:57:33.646880,118	-87	4786	-181	11	-75
2023-08-02 14:57:33.676420,125	-83	4788	-180	7	-75
2023-08-02 14:57:33.700581,129	-84	4787	-181	8	-75
2023-08-02 14:57:33.729216,127	-83	4787	-181	10	-74
2023-08-02 14:57:33.753382,122	-83	4793	-182	12	-75
2023-08-02 14:57:33.782259,123	-83	4789	-182	11	-78
2023-08-02 14:57:33.811183,125	-84	4783	-182	10	-74
2023-08-02 14:57:33.836009,128	-84	4787	-182	10	-75
2023-08-02 14:57:33.864466,119	-95	4787	-181	12	-76
2023-08-02 14:57:33.887774,130	-86	4786	-179	7	-72
2023-08-02 14:57:33.917343,132	-82	4786	-181	11	-74
2023-08-02 14:57:33.941987,127	-85	4780	-184	12	-74
2023-08-02 14:57:33.971029,117	-88	4787	-181	12	-72
2023-08-02 14:57:33.995870,125	-87	4787	-182	7	-77
2023-08-02 14:57:34.020214,133	-84	4785	-182	8	-72
2023-08-02 14:57:34.048323,135	-88	4782	-184	12	-74
2023-08-02 14:57:34.077329,123	-94	4786	-184	14	-76
2023-08-02 14:57:34.101926,121	-89	4789	-181	8	-72
2023-08-02 14:57:34.126724,128	-79	4793	-182	9	-75
2023-08-02 14:57:34.155613,130	-83	4783	-185	10	-76
2023-08-02 14:57:34.179720,126	-92	4793	-182	12	-72
2023-08-02 14:57:34.208797,118	-89	4784	-182	12	-77
2023-08-02 14:57:34.233978,119	-81	4784	-182	9	-75
2023-08-02 14:57:34.261098,124	-82	4789	-182	10	-74
2023-08-02 14:57:34.290750,126	-85	4788	-184	11	-76
2023-08-02 14:57:34.315034,125	-96	4786	-182	12	-75
2023-08-02 14:57:34.343180,125	-87	4790	-180	11	-75
2023-08-02 14:57:34.368007,121	-82	4789	-180	10	-75
2023-08-02 14:57:34.397050,126	-84	4793	-183	11	-77
2023-08-02 14:57:34.425568,126	-92	4794	-182	10	-74
2023-08-02 14:57:34.450469,125	-94	4795	-181	13	-77
2023-08-02 14:57:34.478167,127	-88	4791	-180	13	-74
2023-08-02 14:57:34.503355,127	-82	4788	-182	11	-74
2023-08-02 14:57:34.532117,125	-85	4793	-182	11	-73
2023-08-02 14:57:34.556865,126	-91	4790	-182	10	-73
2023-08-02 14:57:34.585082,126	-88	4786	-181	8	-74
2023-08-02 14:57:34.609710,126	-83	4788	-182	10	-76
2023-08-02 14:57:34.638155,123	-82	4783	-182	11	-74
2023-08-02 14:57:34.667155,124	-87	4790	-182	11	-75
2023-08-02 14:57:34.691411,127	-88	4788	-181	12	-76
2023-08-02 14:57:34.720228,127	-88	4790	-181	9	-75
2023-08-02 14:57:34.745223,126	-87	4795	-181	11	-75
2023-08-02 14:57:34.773295,125	-91	4795	-181	11	-74
2023-08-02 14:57:34.797828,122	-91	4792	-181	10	-73
2023-08-02 14:57:34.826703,125	-92	4791	-180	9	-74
2023-08-02 14:57:34.850767,128	-83	4782	-181	9	-73
2023-08-02 14:57:34.879791,132	-84	4786	-182	11	-71
2023-08-02 14:57:34.904818,128	-85	4788	-183	11	-76
2023-08-02 14:57:34.933812,127	-87	4789	-183	10	-73
2023-08-02 14:57:34.958189,129	-85	4789	-182	11	-74
2023-08-02 14:57:34.986397,125	-84	4786	-182	10	-74
2023-08-02 14:57:35.015581,125	-87	4790	-181	11	-74
2023-08-02 14:57:35.039410,121	-89	4789	-181	10	-74
2023-08-02 14:57:35.068758,126	-90	4783	-182	10	-75
2023-08-02 14:57:35.092763,125	-89	4789	-181	9	-73
2023-08-02 14:57:35.121867,125	-84	4785	-182	11	-76
2023-08-02 14:57:35.145917,125	-83	4782	-182	11	-74
2023-08-02 14:57:35.174934,125	-84	4792	-182	11	-74
2023-08-02 14:57:35.199925,125	-83	4788	-181	11	-75
2023-08-02 14:57:35.227905,125	-82	4789	-181	9	-74
2023-08-02 14:57:35.252858,125	-82	4786	-182	11	-75
2023-08-02 14:57:35.281860,125	-87	4788	-182	12	-74
2023-08-02 14:57:35.306053,124	-89	4794	-181	12	-74
2023-08-02 14:57:35.334924,122	-88	4784	-181	8	-75
2023-08-02 14:57:35.359660,123	-85	4786	-182	10	-76
2023-08-02 14:57:35.388106,129	-91	4795	-181	9	-74
2023-08-02 14:57:35.412665,122	-90	4789	-181	10	-76
2023-08-02 14:57:35.440749,127	-88	4794	-181	11	-75
2023-08-02 14:57:35.470086,124	-87	4787	-181	12	-74
2023-08-02 14:57:35.493878,127	-86	4783	-182	12	-74
2023-08-02 14:57:35.523127,125	-87	4790	-181	11	-75
2023-08-02 14:57:35.548070,123	-88	4791	-182	10	-75
2023-08-02 14:57:35.576164,121	-91	4779	-182	9	-76
2023-08-02 14:57:35.600908,123	-86	4783	-182	10	-75
2023-08-02 14:57:35.629383,125	-84	4780	-182	9	-74
2023-08-02 14:57:35.654387,126	-87	4791	-183	9	-74
2023-08-02 14:57:35.678547,125	-85	4783	-182	10	-74
2023-08-02 14:57:35.707665,128	-83	4784	-179	10	-74
2023-08-02 14:57:35.735671,128	-82	4788	-180	11	-74
2023-08-02 14:57:35.760839,130	-84	4785	-182	11	-74
2023-08-02 14:57:35.789033,127	-86	4787	-182	10	-75
2023-08-02 14:57:35.814011,127	-88	4792	-181	12	-75
2023-08-02 14:57:35.842104,122	-87	4789	-181	12	-74
2023-08-02 14:57:35.871027,126	-87	4792	-182	11	-75
2023-08-02 14:57:35.894797,126	-88	4792	-182	10	-76
2023-08-02 14:57:35.924257,124	-93	4791	-182	11	-76
2023-08-02 14:57:35.949221,123	-87	4790	-182	9	-76
2023-08-02 14:57:35.977135,126	-85	4788	-181	10	-76
2023-08-02 14:57:36.002108,128	-86	4787	-181	9	-75
2023-08-02 14:57:36.031235,127	-87	4786	-181	12	-74
2023-08-02 14:57:36.055177,122	-85	4789	-181	9	-75
2023-08-02 14:57:36.080224,123	-87	4790	-181	5	-74
2023-08-02 14:57:36.108544,129	-85	4794	-181	2	-74
2023-08-02 14:57:36.133052,131	-87	4793	-184	4	-74
2023-08-02 14:57:36.158218,128	-88	4788	-182	6	-76
2023-08-02 14:57:36.186768,126	-88	4785	-184	3	-80
2023-08-02 14:57:36.211326,115	-82	4781	-176	3	-69
2023-08-02 14:57:36.236301,136	-81	4789	-182	3	-72
2023-08-02 14:57:36.264389,122	-86	4787	-182	16	-73
2023-08-02 14:57:36.289306,129	-87	4784	-180	33	-71
2023-08-02 14:57:36.317823,137	-91	4795	-186	30	-90
2023-08-02 14:57:36.345842,113	-96	4794	-186	20	-85
2023-08-02 14:57:36.371243,123	-91	4793	-178	7	-70
2023-08-02 14:57:36.395444,131	-86	4789	-182	4	-71
