Timestamp,Data
2023-08-02 16:10:26.477137,1AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:10:26.478194,78	-66	4787	-178	11	-72
2023-08-02 16:10:26.479136,77	-65	4786	-177	12	-73
2023-08-02 16:10:26.483656,76	-61	4783	-178	14	-73
2023-08-02 16:10:26.512004,74	-64	4785	-178	14	-71
2023-08-02 16:10:26.537099,75	-62	4787	-179	13	-72
2023-08-02 16:10:26.561003,74	-62	4785	-179	14	-73
2023-08-02 16:10:26.590241,75	-61	4782	-179	13	-74
2023-08-02 16:10:26.615168,75	-62	4781	-179	14	-75
2023-08-02 16:10:26.639205,78	-64	4787	-178	14	-75
2023-08-02 16:10:26.668266,79	-62	4784	-177	12	-76
2023-08-02 16:10:26.692890,79	-65	4784	-176	11	-74
2023-08-02 16:10:26.720888,78	-65	4782	-176	13	-74
2023-08-02 16:10:26.745998,79	-62	4785	-177	13	-75
2023-08-02 16:10:26.771021,79	-62	4785	-179	13	-74
2023-08-02 16:10:26.799366,80	-64	4785	-178	14	-74
2023-08-02 16:10:26.823368,77	-62	4784	-177	14	-75
2023-08-02 16:10:26.848468,76	-62	4787	-177	15	-75
2023-08-02 16:10:26.876576,80	-62	4786	-178	17	-74
2023-08-02 16:10:26.901290,79	-63	4785	-176	14	-75
2023-08-02 16:10:26.926302,83	-62	4782	-179	15	-75
2023-08-02 16:10:26.954674,76	-59	4780	-178	13	-73
2023-08-02 16:10:26.978872,75	-61	4785	-177	11	-75
2023-08-02 16:10:27.003727,76	-65	4781	-177	11	-75
2023-08-02 16:10:27.032113,78	-63	4783	-177	12	-75
2023-08-02 16:10:27.057113,83	-64	4784	-179	11	-74
2023-08-02 16:10:27.081606,84	-67	4786	-179	12	-76
2023-08-02 16:10:27.110652,83	-70	4783	-179	13	-76
2023-08-02 16:10:27.134617,82	-66	4780	-178	12	-75
2023-08-02 16:10:27.159613,80	-64	4779	-178	12	-73
2023-08-02 16:10:27.188182,79	-63	4778	-177	14	-73
2023-08-02 16:10:27.213109,77	-62	4782	-179	13	-74
2023-08-02 16:10:27.237109,80	-62	4779	-179	10	-74
2023-08-02 16:10:27.266265,76	-61	4780	-178	13	-75
2023-08-02 16:10:27.291123,80	-62	4782	-177	12	-75
2023-08-02 16:10:27.315197,78	-59	4780	-179	13	-74
2023-08-02 16:10:27.344124,76	-60	4780	-179	11	-74
2023-08-02 16:10:27.368269,80	-63	4783	-179	11	-74
2023-08-02 16:10:27.393219,79	-64	4776	-178	13	-75
2023-08-02 16:10:27.421143,79	-60	4781	-179	11	-75
2023-08-02 16:10:27.446549,76	-60	4775	-178	13	-74
2023-08-02 16:10:27.470878,76	-61	4780	-177	13	-75
2023-08-02 16:10:27.499509,79	-58	4779	-180	12	-74
2023-08-02 16:10:27.523944,80	-61	4777	-180	13	-75
2023-08-02 16:10:27.548860,76	-62	4782	-180	14	-76
2023-08-02 16:10:27.576949,77	-61	4781	-180	13	-77
2023-08-02 16:10:27.601641,76	-61	4786	-178	12	-76
2023-08-02 16:10:27.626671,74	-63	4784	-179	13	-75
2023-08-02 16:10:27.654647,76	-62	4781	-179	13	-74
2023-08-02 16:10:27.679653,73	-65	4788	-178	14	-76
2023-08-02 16:10:27.704164,75	-63	4777	-180	16	-74
2023-08-02 16:10:27.732164,77	-64	4778	-178	14	-75
2023-08-02 16:10:27.757184,78	-65	4782	-180	14	-75
2023-08-02 16:10:27.781191,79	-63	4776	-179	13	-73
2023-08-02 16:10:27.810723,77	-64	4779	-178	12	-73
2023-08-02 16:10:27.834706,82	-64	4780	-178	14	-75
2023-08-02 16:10:27.859723,78	-64	4769	-178	15	-75
2023-08-02 16:10:27.888410,76	-62	4781	-179	12	-74
2023-08-02 16:10:27.913413,76	-63	4774	-180	14	-74
2023-08-02 16:10:27.937515,81	-65	4780	-179	11	-73
2023-08-02 16:10:27.966540,81	-63	4788	-179	13	-74
2023-08-02 16:10:27.991184,76	-62	4773	-179	14	-72
2023-08-02 16:10:28.015084,76	-64	4786	-180	12	-72
2023-08-02 16:10:28.044464,77	-62	4784	-179	15	-75
2023-08-02 16:10:28.068465,80	-63	4781	-179	13	-75
2023-08-02 16:10:28.093259,82	-64	4790	-180	14	-74
2023-08-02 16:10:28.122315,83	-66	4776	-179	13	-74
2023-08-02 16:10:28.146315,75	-67	4791	-178	13	-74
2023-08-02 16:10:28.171284,78	-64	4779	-180	16	-76
2023-08-02 16:10:28.199770,77	-53	4768	-181	17	-74
2023-08-02 16:10:28.224656,81	-62	4788	-181	13	-76
2023-08-02 16:10:28.248947,77	-71	4786	-179	16	-77
2023-08-02 16:10:28.278006,79	-66	4786	-179	13	-72
2023-08-02 16:10:28.301740,75	-64	4780	-178	13	-74
2023-08-02 16:10:28.326719,75	-60	4777	-180	13	-73
2023-08-02 16:10:28.355715,75	-65	4783	-180	13	-75
2023-08-02 16:10:28.379809,78	-67	4782	-180	13	-75
2023-08-02 16:10:28.404311,77	-68	4781	-179	12	-74
2023-08-02 16:10:28.433401,72	-64	4793	-178	11	-75
2023-08-02 16:10:28.458240,83	-59	4769	-178	11	-75
2023-08-02 16:10:28.482600,81	-59	4792	-179	10	-75
2023-08-02 16:10:28.510872,85	-65	4784	-179	16	-77
2023-08-02 16:10:28.535770,73	-66	4775	-177	12	-76
2023-08-02 16:10:28.560482,74	-60	4796	-178	12	-74
2023-08-02 16:10:28.589064,83	-57	4780	-180	11	-74
2023-08-02 16:10:28.613169,80	-61	4789	-179	10	-74
2023-08-02 16:10:28.638106,77	-65	4790	-178	13	-73
2023-08-02 16:10:28.667234,73	-64	4780	-178	12	-75
2023-08-02 16:10:28.691209,76	-62	4786	-177	9	-75
2023-08-02 16:10:28.716192,79	-58	4776	-178	10	-76
2023-08-02 16:10:28.741110,84	-64	4783	-180	10	-74
2023-08-02 16:10:28.769237,79	-66	4788	-179	13	-74
2023-08-02 16:10:28.793897,83	-66	4785	-178	16	-74
2023-08-02 16:10:28.817943,78	-63	4785	-178	12	-74
2023-08-02 16:10:28.846894,78	-62	4782	-178	13	-73
2023-08-02 16:10:28.871899,72	-67	4784	-177	7	-76
2023-08-02 16:10:28.896544,65	-67	4785	-175	2	-77
2023-08-02 16:10:28.920619,76	-64	4785	-175	-3	-74
2023-08-02 16:10:28.949545,105	-61	4771	-176	4	-75
2023-08-02 16:10:28.973692,116	-62	4777	-181	14	-61
2023-08-02 16:10:29.002938,68	-70	4774	-176	21	-77
2023-08-02 16:10:29.026937,41	-67	4790	-176	9	-79
2023-08-02 16:10:29.051937,57	-59	4786	-177	-1	-75
2023-08-02 16:10:29.080492,118	-66	4778	-177	-12	-91
2023-08-02 16:10:29.105156,111	-84	4786	-180	0	-82
2023-08-02 16:10:29.130023,64	-78	4779	-179	9	-65
2023-08-02 16:10:29.154074,54	-67	4787	-176	0	-67
2023-08-02 16:10:29.183238,116	-61	4784	-189	-18	-39
2023-08-02 16:10:29.211380,197	-10	4790	-195	-20	4
2023-08-02 16:10:29.236266,26	-72	4776	-180	11	-72
2023-08-02 16:10:29.261252,23	-96	4783	-174	31	-57
2023-08-02 16:10:29.289080,32	-78	4790	-170	34	-84
2023-08-02 16:10:29.314270,32	-67	4792	-168	25	-43
2023-08-02 16:10:29.338219,179	-58	4799	-197	38	51
2023-08-02 16:10:29.367174,118	-57	4785	-180	42	-52
2023-08-02 16:10:29.392258,1	-78	4779	-166	6	-97
2023-08-02 16:10:29.416413,38	-60	4785	-166	-14	-54
2023-08-02 16:10:29.445328,57	-50	4782	-173	-26	-34
2023-08-02 16:10:29.473746,134	-53	4784	-173	-27	-63
2023-08-02 16:10:29.502267,131	-51	4788	-167	-37	-147
2023-08-02 16:10:29.531380,52	-78	4787	-159	-26	-175
2023-08-02 16:10:29.555519,70	-52	4778	-169	1	-117
2023-08-02 16:10:29.580436,107	-61	4780	-176	18	-99
2023-08-02 16:10:29.608534,80	-73	4788	-181	13	-73
2023-08-02 16:10:29.633599,54	-72	4785	-182	8	-43
2023-08-02 16:10:29.658658,33	-64	4789	-188	9	-26
2023-08-02 16:10:29.682205,76	-55	4785	-195	-9	0
2023-08-02 16:10:29.711284,135	-56	4784	-187	-10	-23
2023-08-02 16:10:29.740131,452	-9	4463	-67	-101	-377
2023-08-02 16:10:29.768136,376	-181	4573	-204	-120	-793
2023-08-02 16:10:29.800814,-158	-76	4706	-266	-158	-1108
2023-08-02 16:10:29.829948,-770	-27	5007	-366	-29	411
2023-08-02 16:10:29.862998,-890	196	4983	-332	-271	1728
2023-08-02 16:10:29.892153,-650	-3	4935	-217	-153	2130
2023-08-02 16:10:29.920126,-238	7	4814	-255	-36	2100
2023-08-02 16:10:29.949150,441	203	4719	-228	-5	3155
2023-08-02 16:10:29.977287,814	201	4556	-173	29	4349
2023-08-02 16:10:30.005879,815	-187	4966	-165	-151	5126
2023-08-02 16:10:30.034720,390	-277	4920	63	-159	4732
2023-08-02 16:10:30.062877,162	-197	4935	-79	100	4029
2023-08-02 16:10:30.092821,51	-271	4923	209	-33	3287
2023-08-02 16:10:30.120318,365	-463	4913	114	12	2212
2023-08-02 16:10:30.149346,475	-584	4620	-227	101	710
2023-08-02 16:10:30.182318,355	-565	4734	-343	-55	-1187
2023-08-02 16:10:30.210840,98	-263	4504	-727	218	-2875
2023-08-02 16:10:30.243867,-1028	-345	4534	-392	-133	-3472
2023-08-02 16:10:30.280903,-3899	-1025	4529	-217	58	-3288
2023-08-02 16:10:30.309485,-2306	-903	4444	-42	486	-2960
2023-08-02 16:10:30.342215,-2568	-985	4419	276	102	-2481
2023-08-02 16:10:30.375224,-1613	-757	4614	-368	-14	-1840
2023-08-02 16:10:30.407751,-3478	21	4576	-591	244	-913
2023-08-02 16:10:30.435760,-2346	-360	4495	-569	-261	64
2023-08-02 16:10:30.468751,-2762	-401	4467	-125	221	1023
2023-08-02 16:10:30.501284,-3581	-345	4298	115	297	1574
2023-08-02 16:10:30.530737,-1720	-422	4038	189	97	1719
2023-08-02 16:10:30.563420,-3036	-811	4909	-345	87	1345
