Timestamp,Data
2023-08-01 11:58:52.826951,8-58
2023-08-01 11:58:55.787864,180	3989	546	-181	-23	-56
2023-08-01 11:58:55.816737,186	3992	536	-166	-18	-55
2023-08-01 11:58:55.845251,189	3990	555	-208	-24	-59
2023-08-01 11:58:55.874116,182	3989	566	-164	-16	-57
2023-08-01 11:58:55.903029,189	3991	539	-164	-19	-58
2023-08-01 11:58:55.931863,178	3996	525	-177	-13	-55
2023-08-01 11:58:55.955795,195	3983	550	-193	-19	-53
2023-08-01 11:58:55.984950,193	3992	555	-181	-13	-57
2023-08-01 11:58:56.012974,177	3994	555	-180	-12	-57
2023-08-01 11:58:56.042041,190	3992	551	-170	-13	-55
2023-08-01 11:58:56.070739,185	3994	533	-154	-11	-57
2023-08-01 11:58:56.099576,189	3993	528	-181	-16	-56
2023-08-01 11:58:56.127871,186	3992	547	-192	-17	-59
2023-08-01 11:58:56.157041,180	3993	546	-157	-12	-58
2023-08-01 11:58:56.180795,188	3991	543	-175	-12	-56
2023-08-01 11:58:56.210605,195	3990	551	-182	-8	-58
2023-08-01 11:58:56.234664,184	3993	535	-142	0	-55
2023-08-01 11:58:56.262702,183	3988	519	-176	-1	-56
2023-08-01 11:58:56.292180,191	3989	555	-223	-2	-55
2023-08-01 11:58:56.316661,194	3987	572	-168	10	-57
2023-08-01 11:58:56.344833,194	3992	548	-146	10	-58
2023-08-01 11:58:56.369293,189	3994	533	-166	6	-59
2023-08-01 11:58:56.397680,177	3987	538	-185	11	-57
2023-08-01 11:58:56.422927,188	3987	556	-193	10	-53
2023-08-01 11:58:56.451845,185	3988	556	-164	18	-56
2023-08-01 11:58:56.480817,183	3987	532	-144	18	-54
2023-08-01 11:58:56.505058,184	3989	522	-181	18	-56
2023-08-01 11:58:56.533517,184	3991	546	-202	16	-55
2023-08-01 11:58:56.558470,186	3987	569	-174	24	-55
2023-08-01 11:58:56.586696,187	3987	552	-155	30	-55
2023-08-01 11:58:56.615528,181	3988	534	-160	34	-57
2023-08-01 11:58:56.640630,191	3991	530	-174	37	-55
2023-08-01 11:58:56.669283,194	3987	542	-191	38	-57
2023-08-01 11:58:56.693022,187	3986	562	-180	44	-59
2023-08-01 11:58:56.721595,183	3990	543	-138	50	-57
2023-08-01 11:58:56.750559,180	3991	518	-149	48	-56
2023-08-01 11:58:56.775231,184	3990	530	-200	43	-57
2023-08-01 11:58:56.803789,189	3990	554	-192	44	-57
2023-08-01 11:58:56.832394,183	3989	551	-154	52	-58
2023-08-01 11:58:56.856735,184	3992	533	-155	50	-57
2023-08-01 11:58:56.885672,185	3988	535	-187	45	-55
2023-08-01 11:58:56.910881,186	3985	551	-188	46	-56
2023-08-01 11:58:56.939093,185	3985	556	-168	47	-55
2023-08-01 11:58:56.967864,189	3989	535	-163	44	-57
2023-08-01 11:58:56.992188,188	3989	530	-168	42	-55
2023-08-01 11:58:57.020650,185	3988	543	-188	38	-56
2023-08-01 11:58:57.045748,188	3984	556	-189	35	-57
2023-08-01 11:58:57.074584,190	3985	550	-152	34	-55
2023-08-01 11:58:57.103145,190	3988	537	-159	30	-55
2023-08-01 11:58:57.127098,189	3990	539	-191	27	-58
2023-08-01 11:58:57.156571,196	3988	559	-180	26	-56
2023-08-01 11:58:57.180840,177	3985	562	-166	25	-59
2023-08-01 11:58:57.209672,179	3988	526	-123	25	-57
2023-08-01 11:58:57.237622,199	3993	489	-147	24	-50
2023-08-01 11:58:57.262769,196	3988	532	-221	7	-62
2023-08-01 11:58:57.291566,174	3993	531	-169	15	-56
2023-08-01 11:58:57.316205,172	3984	549	-195	8	-56
2023-08-01 11:58:57.344669,190	3986	600	-216	-1	-52
2023-08-01 11:58:57.369831,180	3988	555	-117	15	-58
2023-08-01 11:58:57.397946,178	3991	510	-135	6	-52
2023-08-01 11:58:57.421827,189	3990	503	-170	-5	-55
2023-08-01 11:58:57.450984,184	3984	545	-230	-6	-51
2023-08-01 11:58:57.475747,204	3987	606	-203	-8	-52
2023-08-01 11:58:57.504673,180	3984	556	-139	-1	-60
2023-08-01 11:58:57.528489,172	3989	509	-118	0	-54
2023-08-01 11:58:57.558036,188	3993	508	-172	-27	-51
2023-08-01 11:58:57.585923,195	3987	572	-246	-20	-54
2023-08-01 11:58:57.614805,196	3986	581	-175	-6	-58
2023-08-01 11:58:57.643799,182	3991	544	-128	-23	-56
2023-08-01 11:58:57.667792,183	3988	515	-142	-19	-54
2023-08-01 11:58:57.696943,203	3987	528	-209	-19	-55
2023-08-01 11:58:57.725780,184	3983	567	-196	-33	-57
2023-08-01 11:58:57.754693,177	3984	555	-174	-19	-52
2023-08-01 11:58:57.782841,194	3985	536	-154	-22	-53
2023-08-01 11:58:57.811025,189	3985	518	-156	-28	-57
2023-08-01 11:58:57.840585,187	3984	537	-206	-30	-58
2023-08-01 11:58:57.867910,181	3982	558	-183	-30	-58
2023-08-01 11:58:57.893380,183	3986	540	-149	-26	-51
2023-08-01 11:58:57.921684,197	3991	526	-170	-26	-55
2023-08-01 11:58:57.950882,188	3990	539	-189	-27	-56
2023-08-01 11:58:57.979383,127	3980	491	-222	-462	22
2023-08-01 11:58:58.007546,205	3999	507	-302	-221	-90
2023-08-01 11:58:58.036732,185	3995	522	-120	-368	-32
2023-08-01 11:58:58.065538,135	3745	533	-99	-437	-106
2023-08-01 11:58:58.097574,-745	2279	548	-176	-625	-113
2023-08-01 11:58:58.131043,-1317	3230	568	-339	-807	-35
2023-08-01 11:58:58.159521,-1167	6093	464	-197	-878	11
2023-08-01 11:58:58.188129,-551	4275	552	-80	-694	-30
2023-08-01 11:58:58.216868,-483	2892	627	-151	-935	9
2023-08-01 11:58:58.245694,-976	3373	568	-77	-900	-91
2023-08-01 11:58:58.273994,-667	4660	375	-214	-895	-93
2023-08-01 11:58:58.307102,-677	2928	604	-360	-960	-51
2023-08-01 11:58:58.335862,-764	2670	450	-278	-857	-86
