Timestamp,Data
2023-08-02 16:12:44.355974,94	-173	11	-66
2023-08-02 16:12:44.355974,101	-106	4795	-172	10	-64
2023-08-02 16:12:44.356960,99	-104	4795	-173	9	-64
2023-08-02 16:12:44.356960,101	-105	4791	-173	7	-67
2023-08-02 16:12:44.357961,98	-105	4794	-174	10	-64
2023-08-02 16:12:44.358965,99	-107AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:12:44.358965,89	-95	4799	-171	9	-67
2023-08-02 16:12:44.359961,137	-113	4805	-172	8	-61
2023-08-02 16:12:44.365961,102	-97	4803	-173	8	-60
2023-08-02 16:12:44.391099,66	-105	4792	-171	8	-64
2023-08-02 16:12:44.416108,105	-99	4781	-169	8	-67
2023-08-02 16:12:44.440535,96	-94	4804	-167	3	-62
2023-08-02 16:12:44.468653,108	-102	4791	-170	7	-68
2023-08-02 16:12:44.497611,106	-107	4782	-173	14	-67
2023-08-02 16:12:44.522099,64	-111	4798	-168	6	-63
2023-08-02 16:12:44.547088,65	-112	4794	-167	0	-67
2023-08-02 16:12:44.575210,135	-83	4801	-168	-8	-58
2023-08-02 16:12:44.600085,113	-93	4798	-176	5	-63
2023-08-02 16:12:44.629200,106	-118	4791	-179	10	-73
2023-08-02 16:12:44.657322,97	-125	4770	-168	12	-62
2023-08-02 16:12:44.682263,83	-97	4782	-157	13	-63
2023-08-02 16:12:44.711113,106	-77	4839	-176	11	-67
2023-08-02 16:12:44.735635,102	-92	4802	-185	7	-70
2023-08-02 16:12:44.763855,138	-122	4780	-172	15	-82
2023-08-02 16:12:44.788452,64	-106	4794	-141	24	-74
2023-08-02 16:12:44.817370,36	-119	4819	-168	16	-89
2023-08-02 16:12:44.845895,103	-73	4828	-190	-8	-58
2023-08-02 16:12:44.870895,250	88	4733	-213	155	-387
2023-08-02 16:12:44.902990,239	362	4938	-190	116	-1718
2023-08-02 16:12:44.931666,-122	282	4800	35	225	-2829
2023-08-02 16:12:44.960591,-370	219	4775	34	311	-3305
2023-08-02 16:12:44.989554,-373	217	4864	8	325	-3830
2023-08-02 16:12:45.017567,-199	270	4887	30	715	-4451
2023-08-02 16:12:45.046220,247	307	4956	-41	1026	-4275
2023-08-02 16:12:45.079216,118	827	4947	-156	2067	-2147
2023-08-02 16:12:45.112279,-301	275	4783	-116	2461	-1921
2023-08-02 16:12:45.145040,-266	-23	4771	-235	2315	-1416
2023-08-02 16:12:45.178051,-213	-166	4726	-211	2267	-1273
2023-08-02 16:12:45.210389,-303	225	4653	-160	2116	-1269
2023-08-02 16:12:45.239054,-512	205	4682	104	2016	-1390
2023-08-02 16:12:45.272030,-715	-193	4608	161	1644	-2065
2023-08-02 16:12:45.304827,-743	-366	4722	438	1236	-3303
2023-08-02 16:12:45.337548,-747	-337	4640	639	1211	-4754
2023-08-02 16:12:45.365585,-797	-237	4549	823	674	-5588
2023-08-02 16:12:45.398959,-925	-138	4751	913	534	-5595
2023-08-02 16:12:45.431747,-1019	47	4713	767	1082	-5189
2023-08-02 16:12:45.459731,-869	-65	4684	726	1168	-4970
2023-08-02 16:12:45.492712,-750	-128	4713	769	1125	-4667
2023-08-02 16:12:45.521248,-800	16	4579	680	1070	-4432
2023-08-02 16:12:45.550250,-878	76	4610	915	647	-4485
2023-08-02 16:12:45.583248,-680	-236	4553	1449	128	-5110
2023-08-02 16:12:45.611261,-553	0	4707	811	526	-5081
2023-08-02 16:12:45.639890,-531	63	4714	938	428	-4652
2023-08-02 16:12:45.668903,-661	222	4544	873	-3	-4493
2023-08-02 16:12:45.701912,-764	165	4532	926	-845	-4680
2023-08-02 16:12:45.734674,-623	-14	4741	675	-1057	-4251
2023-08-02 16:12:45.762673,-633	-18	4786	533	-676	-3606
2023-08-02 16:12:45.795685,-475	-66	4802	490	-321	-3193
2023-08-02 16:12:45.828500,-311	-83	4714	507	-647	-3176
2023-08-02 16:12:45.857652,-341	33	4502	639	-1801	-3786
2023-08-02 16:12:45.890610,-229	-62	4636	562	-2878	-4092
2023-08-02 16:12:45.923024,-95	-79	4788	507	-3512	-3969
2023-08-02 16:12:45.956049,-175	-49	4877	474	-3548	-3367
2023-08-02 16:12:45.984023,-1	-73	4804	-111	-3060	-2513
2023-08-02 16:12:46.017033,458	-280	4840	21	-2885	-2038
2023-08-02 16:12:46.049664,745	-361	4745	-90	-3109	-2034
2023-08-02 16:12:46.082559,1035	-520	5199	-278	-1922	-1220
2023-08-02 16:12:46.115717,758	-243	5071	-142	-531	-681
2023-08-02 16:12:46.144128,674	-363	4711	-252	-164	-653
2023-08-02 16:12:46.177351,599	-570	4881	-193	-134	-1482
2023-08-02 16:12:46.205465,305	-339	4899	-161	29	-2115
2023-08-02 16:12:46.238271,-19	-122	4777	-154	-7	-2587
2023-08-02 16:12:46.266756,34	-33	4648	-153	-38	-2779
2023-08-02 16:12:46.295655,307	-64	4658	-237	21	-2536
2023-08-02 16:12:46.324156,291	-92	4761	-185	25	-1777
2023-08-02 16:12:46.353007,44	-66	4888	-222	17	-592
2023-08-02 16:12:46.377146,-215	-13	4855	-238	24	434
2023-08-02 16:12:46.406129,-323	79	4783	-195	11	956
2023-08-02 16:12:46.435260,-149	116	4788	-187	6	702
2023-08-02 16:12:46.459318,-36	153	4762	-192	32	-22
2023-08-02 16:12:46.488397,18	125	4792	-178	-7	-645
2023-08-02 16:12:46.517269,-71	40	4803	-165	-24	-846
2023-08-02 16:12:46.545512,-79	-11	4788	-176	-29	-724
2023-08-02 16:12:46.570510,0	-78	4769	-186	-9	-289
2023-08-02 16:12:46.594514,28	-97	4765	-196	9	181
2023-08-02 16:12:46.623195,10	-63	4768	-182	-8	499
2023-08-02 16:12:46.648158,-26	0	4809	-178	-7	545
2023-08-02 16:12:46.673053,-9	15	4827	-176	12	333
2023-08-02 16:12:46.693176,0	12	4859	-185	24	2
2023-08-02 16:12:46.717064,8	-40	4831	-178	2	-169
2023-08-02 16:12:46.745634,-25	-49	4867	-175	1	-180
2023-08-02 16:12:46.775188,-104	-47	4849	-140	21	-44
2023-08-02 16:12:46.799084,-165	-60	4761	-156	11	-34
2023-08-02 16:12:46.828245,-56	-73	4788	-145	-1	-96
2023-08-02 16:12:46.852995,21	-42	4770	-190	56	-23
2023-08-02 16:12:46.880955,-13	-80	4793	-174	46	18
2023-08-02 16:12:46.905970,-69	-64	4800	-163	3	-113
2023-08-02 16:12:46.934797,-27	-62	4847	-164	6	-206
2023-08-02 16:12:46.958690,269	36	4684	-196	45	-296
2023-08-02 16:12:46.987796,50	38	4772	-158	35	-469
2023-08-02 16:12:47.012822,70	-43	4768	-162	10	-687
2023-08-02 16:12:47.041226,173	-81	4783	-160	31	-768
2023-08-02 16:12:47.070085,119	-37	4796	-137	38	-843
2023-08-02 16:12:47.098164,16	-33	4785	-142	30	-940
2023-08-02 16:12:47.127083,132	-107	4796	-167	-21	-834
2023-08-02 16:12:47.156157,245	-124	4779	-173	-14	-631
2023-08-02 16:12:47.184141,158	-90	4800	-175	6	-537
2023-08-02 16:12:47.213025,183	-126	4782	-178	-1	-453
2023-08-02 16:12:47.241536,132	-78	4798	-175	10	-264
2023-08-02 16:12:47.270170,147	-83	4789	-177	20	-161
2023-08-02 16:12:47.294774,104	-81	4787	-180	25	-78
2023-08-02 16:12:47.324425,123	-129	4767	-181	-13	27
2023-08-02 16:12:47.348486,143	-40	4778	-163	19	75
2023-08-02 16:12:47.376904,92	-21	4788	-176	42	32
2023-08-02 16:12:47.397759,86	-45	4799	-187	45	0
2023-08-02 16:12:47.425799,71	-73	4791	-186	37	-16
2023-08-02 16:12:47.450695,63	-79	4795	-178	25	-50
2023-08-02 16:12:47.475666,81	-65	4794	-174	19	-63
2023-08-02 16:12:47.503922,87	-54	4791	-176	12	-66
2023-08-02 16:12:47.528741,98	-62	4790	-177	13	-65
2023-08-02 16:12:47.552867,80	-72	4788	-180	1	-71
2023-08-02 16:12:47.581788,131	-76	4792	-176	22	-61
2023-08-02 16:12:47.606926,86	-59	4786	-175	19	-65
2023-08-02 16:12:47.630939,62	-55	4780	-177	12	-68
2023-08-02 16:12:47.659636,117	-61	4791	-178	12	-70
2023-08-02 16:12:47.688578,100	-73	4784	-178	10	-68
2023-08-02 16:12:47.712657,86	-71	4786	-175	9	-67
2023-08-02 16:12:47.737195,94	-61	4789	-174	10	-68
2023-08-02 16:12:47.761349,91	-62	4785	-176	10	-68
2023-08-02 16:12:47.786985,98	-63	4794	-177	9	-69
2023-08-02 16:12:47.811319,96	-68	4789	-179	9	-69
