Timestamp,Data
2023-08-02 14:58:09.319137,84	14	-79
2023-08-02 14:58:11.422376,122	-45	4775	-185	10	-78
2023-08-02 14:58:11.450936,103	-43	4779	-184	10	-82
2023-08-02 14:58:11.475248,120	-48	4777	-184	11	-80
2023-08-02 14:58:11.504421,104	-55	4784	-184	15	-80
2023-08-02 14:58:11.528479,119	-50	4783	-183	10	-79
2023-08-02 14:58:11.557590,92	-51	4777	-185	8	-88
2023-08-02 14:58:11.582192,127	-49	4776	-185	13	-81
2023-08-02 14:58:11.610882,100	-48	4781	-184	16	-77
2023-08-02 14:58:11.635377,115	-51	4782	-184	16	-78
2023-08-02 14:58:11.664187,107	-41	4778	-182	3	-96
2023-08-02 14:58:11.688299,143	-33	4784	-175	-7	-87
2023-08-02 14:58:11.716985,226	-70	4767	-139	-36	-198
2023-08-02 14:58:11.745628,86	-137	4815	-180	-94	-411
2023-08-02 14:58:11.778444,-44	-58	4764	-216	-98	-253
2023-08-02 14:58:11.803442,-6	-29	4780	-242	-50	-55
2023-08-02 14:58:11.827954,160	-38	4806	-179	7	-74
2023-08-02 14:58:11.856855,132	-55	4782	-171	-38	-75
2023-08-02 14:58:11.884679,192	-77	4783	-165	-18	-58
2023-08-02 14:58:11.913743,129	-41	4767	-205	-26	-9
2023-08-02 14:58:11.942982,280	63	4899	-364	-124	198
2023-08-02 14:58:11.971300,267	-103	4650	-343	-497	860
2023-08-02 14:58:11.995226,396	-215	4525	99	73	918
2023-08-02 14:58:12.024047,270	-240	4811	-89	230	467
2023-08-02 14:58:12.048560,227	-177	4794	63	2	182
2023-08-02 14:58:12.081216,312	-204	4749	-163	-102	-169
2023-08-02 14:58:12.114645,132	-189	5036	-232	-186	-1137
2023-08-02 14:58:12.143366,238	-117	4881	6	-276	-2355
2023-08-02 14:58:12.171407,177	-237	4539	-32	-117	-2781
2023-08-02 14:58:12.200369,113	-2	4651	-189	75	-2482
2023-08-02 14:58:12.233397,-44	130	4540	-128	233	-1730
2023-08-02 14:58:12.261553,-205	360	4574	-100	456	-804
2023-08-02 14:58:12.290192,-131	151	4826	-71	409	143
2023-08-02 14:58:12.315060,7	-19	4903	-12	93	361
2023-08-02 14:58:12.339415,81	-8	4798	-163	152	260
2023-08-02 14:58:12.364303,74	-49	4875	-174	112	211
2023-08-02 14:58:12.393458,78	-10	4717	-241	202	220
2023-08-02 14:58:12.421698,133	-92	4818	-285	198	162
2023-08-02 14:58:12.450243,67	-22	4803	-231	104	132
2023-08-02 14:58:12.474585,57	-26	4784	-219	94	261
2023-08-02 14:58:12.499636,48	-71	4792	-201	58	277
2023-08-02 14:58:12.527716,41	-53	4797	-193	45	329
2023-08-02 14:58:12.553048,55	-41	4792	-198	46	417
2023-08-02 14:58:12.577097,86	-44	4790	-195	39	437
2023-08-02 14:58:12.606121,114	-34	4792	-191	30	394
2023-08-02 14:58:12.629897,134	-36	4791	-185	19	357
2023-08-02 14:58:12.659187,119	-34	4799	-180	10	244
